satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,salary
0.52,0.83,3,226,4,1,0,0,sales,medium
0.63,0.55,2,147,5,1,1,1,sales,low
0.55,0.54,3,274,3,0,0,0,support,low
0.67,0.92,5,143,2,0,0,0,sales,low
0.45,0.63,5,225,2,0,0,0,sales,medium
0.83,1.0,4,266,5,0,0,0,technical,medium
0.37,0.52,2,167,3,0,0,0,management,high
0.75,0.69,4,262,2,0,0,0,sales,low
0.88,0.68,5,147,5,0,1,0,technical,low
0.52,0.55,3,169,3,0,0,0,technical,low
0.53,0.64,3,226,2,0,0,0,product_mng,medium
0.47,0.51,3,262,5,1,0,0,technical,low
0.65,0.99,3,194,2,0,0,0,sales,low
0.75,0.61,4,275,3,0,1,0,support,low
0.52,0.55,3,162,2,0,0,0,sales,low
0.66,0.91,4,240,2,1,0,0,sales,medium
0.72,0.79,5,167,2,0,0,0,product_mng,high
0.38,0.52,2,162,3,0,1,0,technical,medium
0.59,0.72,3,205,2,0,0,0,sales,low
0.1,0.78,4,216,2,1,0,0,sales,medium
0.6,0.98,3,229,2,0,0,0,RandD,medium
0.81,0.52,3,188,3,0,0,0,marketing,medium
0.5,0.9,3,153,2,0,0,0,technical,medium
0.8,0.66,4,206,2,0,0,0,support,low
0.79,0.54,2,141,3,0,1,0,support,medium
0.72,0.94,5,136,5,0,0,0,technical,low
0.92,0.91,3,141,2,0,0,0,hr,medium
0.68,0.61,3,136,2,0,0,0,sales,low
0.1,0.91,3,269,4,0,1,0,sales,low
0.11,0.97,4,239,2,1,0,0,technical,medium
0.81,0.91,4,193,3,0,0,0,technical,low
0.96,0.97,5,241,5,0,1,0,sales,low
0.59,0.98,4,278,4,0,0,0,technical,medium
0.09,0.92,7,307,4,0,1,0,product_mng,low
0.35,0.59,2,146,3,0,1,0,technical,medium
0.88,0.54,4,161,3,0,0,0,support,low
0.87,0.64,4,181,2,0,0,0,sales,low
0.37,0.49,2,156,5,0,0,0,sales,medium
0.95,0.53,4,233,5,0,1,0,sales,low
0.14,0.58,3,268,2,0,0,0,support,medium
0.56,0.79,4,239,3,1,0,0,sales,low
0.53,0.71,4,234,5,0,0,0,marketing,low
0.15,1.0,4,261,6,1,0,0,technical,low
0.71,1.0,4,272,2,0,0,0,support,low
0.34,0.5,2,144,3,0,1,0,sales,low
0.64,0.89,5,254,3,0,1,0,sales,low
0.36,0.51,2,163,3,0,1,0,technical,low
0.81,0.76,5,180,3,0,1,0,technical,low
0.62,0.73,5,277,6,0,0,0,sales,medium
0.49,0.72,4,271,2,0,0,0,technical,low
0.56,0.65,4,182,3,0,0,0,technical,medium
0.38,0.93,2,167,3,0,1,0,support,low
0.39,0.53,2,169,3,0,1,0,accounting,low
0.1,0.9,6,271,4,0,0,0,sales,low
0.09,0.93,6,240,4,0,1,0,sales,low
0.72,0.61,3,190,3,0,0,0,technical,low
0.16,0.98,5,220,2,0,0,0,accounting,low
0.54,0.68,3,141,3,0,0,0,hr,low
0.69,0.96,4,222,5,0,1,0,sales,medium
0.09,0.89,5,271,5,0,0,0,product_mng,medium
0.5,0.52,2,269,3,0,0,0,technical,low
0.61,0.69,3,142,3,0,0,0,sales,medium
0.69,0.51,2,139,3,0,1,0,sales,low
0.51,0.64,3,151,3,0,0,0,technical,low
0.53,0.7,3,225,3,0,0,0,sales,high
0.09,0.91,7,310,4,0,1,0,technical,medium
0.41,0.5,4,154,3,0,0,0,marketing,low
0.44,0.53,5,142,3,0,1,0,sales,low
0.12,0.75,4,297,4,0,1,0,technical,low
0.74,1.0,4,236,3,0,0,0,sales,low
0.47,0.47,4,146,3,0,0,0,marketing,low
0.95,0.67,4,236,4,0,1,0,sales,low
0.76,0.82,5,257,5,0,0,0,support,medium
0.36,0.56,2,116,3,0,0,0,sales,medium
0.79,0.92,5,168,8,0,0,0,technical,medium
0.13,0.87,7,284,5,0,1,0,sales,medium
0.91,0.64,3,273,2,0,0,0,sales,medium
0.73,0.96,5,253,5,0,0,0,hr,medium
0.84,0.64,3,181,3,0,0,0,sales,medium
0.37,0.55,2,224,5,0,1,0,technical,low
0.51,0.6,2,262,5,0,0,0,sales,low
0.41,0.51,2,267,3,0,0,0,product_mng,medium
0.92,0.98,5,185,2,0,0,0,sales,medium
0.7,0.49,2,164,3,0,1,0,sales,low
0.44,0.9,5,260,3,0,1,0,sales,low
0.18,0.89,6,188,4,0,0,0,hr,low
0.56,0.54,5,265,3,0,1,0,sales,medium
0.09,0.91,7,262,4,0,1,0,sales,medium
0.42,0.45,2,138,3,0,1,0,sales,medium
0.85,0.59,4,142,2,0,0,0,support,high
0.36,0.52,2,99,3,0,0,0,sales,low
0.35,0.51,2,146,3,0,1,0,sales,low
0.22,0.95,5,273,5,0,0,0,sales,low
0.54,0.93,3,242,2,0,0,0,hr,medium
0.13,0.78,5,196,5,0,0,0,technical,medium
0.47,0.92,2,149,2,0,0,0,support,medium
0.39,0.67,2,153,3,0,1,0,hr,low
0.8,0.5,5,265,3,0,0,0,support,low
0.66,0.65,5,273,2,0,1,0,sales,low
0.29,0.54,2,143,5,0,1,0,IT,low
0.11,0.97,5,191,4,0,0,0,sales,low
0.71,0.61,3,176,3,0,0,0,accounting,low
0.68,0.87,3,226,3,0,0,0,RandD,medium
0.34,0.47,2,158,3,0,1,0,sales,medium
0.54,0.73,3,153,2,0,0,0,technical,low
0.51,0.74,3,170,3,0,0,0,support,low
0.65,0.56,4,193,2,0,0,0,hr,medium
0.56,0.94,4,195,2,0,0,0,technical,medium
0.97,0.76,4,191,3,0,0,0,marketing,low
0.13,0.73,5,231,4,0,1,0,sales,low
0.37,0.5,2,156,3,0,1,0,sales,low
0.85,0.99,5,196,5,0,0,0,marketing,medium
0.68,0.54,2,118,3,0,0,0,hr,medium
0.53,0.65,4,145,3,0,0,0,sales,medium
0.79,0.97,5,253,5,0,1,0,sales,medium
0.93,0.65,4,138,3,0,0,0,sales,low
0.56,0.9,4,273,6,0,0,0,hr,medium
0.82,0.92,4,234,3,0,0,0,support,medium
0.36,0.71,5,180,3,0,1,0,support,low
0.86,0.54,4,137,3,0,0,0,accounting,high
0.5,0.97,5,140,3,0,0,0,sales,medium
0.53,0.87,4,201,2,0,0,0,sales,low
0.91,0.79,3,232,2,0,0,0,sales,low
0.1,0.9,5,307,5,0,1,0,hr,low
0.58,0.77,6,198,4,0,0,0,sales,low
0.64,0.65,3,176,2,0,0,0,technical,low
0.69,0.82,6,244,2,0,0,0,technical,low
0.83,0.52,5,226,5,0,0,0,hr,medium
0.64,0.69,3,204,2,1,0,0,technical,low
0.54,0.98,5,265,3,0,0,0,technical,medium
0.76,0.79,4,269,8,0,0,0,sales,low
0.66,0.98,4,228,3,0,0,0,sales,medium
0.7,0.68,4,144,3,0,0,0,technical,medium
0.51,0.44,2,143,3,0,0,0,sales,low
0.56,0.62,4,200,3,0,0,0,marketing,high
0.84,0.94,6,268,5,0,1,0,hr,low
0.82,0.95,2,266,2,0,1,0,support,low
0.4,0.54,2,160,3,0,1,0,product_mng,low
0.68,0.53,2,168,3,0,0,1,product_mng,medium
0.55,0.76,4,195,2,0,0,0,sales,low
0.64,0.53,2,165,3,0,1,0,sales,low
0.54,0.88,4,280,2,0,0,0,sales,medium
0.09,0.99,7,280,5,0,1,0,hr,low
0.4,0.46,2,156,3,0,0,0,sales,low
0.09,0.87,6,249,2,0,1,0,sales,low
0.56,0.95,5,247,7,0,0,0,technical,low
0.96,0.47,4,179,3,0,0,0,sales,low
0.82,0.58,5,271,5,0,0,0,sales,low
0.71,0.98,4,245,5,0,0,1,sales,high
0.59,0.84,3,195,3,0,0,0,sales,medium
0.2,0.88,4,306,5,0,0,0,sales,low
0.55,0.62,3,213,2,0,0,0,sales,medium
0.65,0.92,4,190,2,0,0,1,sales,medium
0.54,0.98,5,220,5,0,1,0,technical,medium
0.09,0.87,6,310,5,0,1,0,sales,medium
0.7,0.66,3,138,3,0,0,0,support,low
0.53,0.87,4,214,5,1,0,0,product_mng,medium
0.66,0.66,4,227,3,0,0,0,sales,low
0.46,0.91,4,238,2,1,0,0,sales,medium
0.46,0.66,5,268,3,0,0,0,support,low
0.48,0.58,2,145,3,0,0,0,technical,low
0.47,0.75,4,149,3,0,0,0,technical,low
0.64,0.9,5,241,5,0,0,0,marketing,medium
0.75,0.98,4,228,8,0,0,0,sales,low
0.9,0.88,4,181,6,0,1,0,technical,low
0.09,0.8,4,240,4,0,0,0,sales,low
0.76,0.46,5,160,3,0,0,0,support,low
0.09,0.83,6,257,4,0,1,0,product_mng,low
0.59,0.79,3,281,5,0,0,0,technical,low
0.56,0.99,5,242,3,0,0,0,technical,low
0.32,0.49,2,148,3,0,1,0,sales,low
0.66,0.54,5,160,3,0,0,0,sales,medium
0.11,0.86,5,267,4,0,0,0,technical,low
0.51,0.68,5,195,3,0,0,0,sales,medium
0.46,0.65,4,267,2,0,0,0,sales,low
0.55,0.77,4,178,2,1,0,0,sales,medium
0.09,0.96,3,193,4,0,1,0,technical,low
0.58,0.81,5,187,2,0,0,0,product_mng,low
0.37,0.55,2,146,3,0,1,0,accounting,low
0.48,0.56,5,142,4,0,0,0,technical,low
0.95,0.9,4,194,5,1,0,0,sales,medium
0.38,0.62,2,172,3,0,1,0,sales,low
0.09,0.9,6,302,4,0,1,0,technical,low
0.63,0.82,5,191,2,0,0,0,technical,low
0.84,0.87,4,219,3,0,0,0,sales,high
0.38,0.53,2,146,3,1,0,0,marketing,low
0.09,0.92,6,269,5,0,0,0,sales,medium
0.53,0.53,5,158,2,0,0,0,hr,low
0.09,0.96,7,278,5,0,1,0,hr,medium
0.83,0.52,4,162,6,0,0,0,hr,low
0.51,0.65,4,168,2,0,0,0,sales,medium
0.16,0.87,3,269,2,0,0,0,sales,low
0.72,0.7,3,156,2,1,0,0,sales,low
0.58,0.91,5,146,3,0,0,0,sales,low
0.09,0.89,7,190,4,0,1,0,IT,low
0.22,0.81,4,189,5,0,1,0,technical,low
0.36,0.56,2,153,3,0,1,0,sales,low
0.75,0.92,6,267,5,0,0,0,hr,medium
0.87,0.98,4,250,3,0,0,0,technical,low
0.74,0.56,4,157,3,0,0,0,sales,medium
0.48,0.52,4,226,3,0,0,0,sales,low
0.76,0.79,5,178,3,0,0,0,technical,medium
0.14,0.73,6,249,4,0,0,0,technical,low
0.35,0.5,2,152,3,0,1,0,sales,low
0.76,0.67,4,192,3,0,0,0,sales,medium
0.09,0.87,7,303,5,0,1,0,product_mng,low
0.7,0.47,2,142,3,0,0,0,sales,low
0.39,0.52,4,250,3,0,0,1,sales,medium
0.57,0.66,3,240,3,0,0,0,support,medium
0.41,0.52,2,149,3,0,1,0,technical,low
0.84,0.66,3,276,3,0,0,1,RandD,medium
0.71,0.94,4,248,2,0,0,0,technical,medium
0.1,0.82,5,267,4,0,0,0,IT,high
0.09,0.9,6,301,4,0,1,0,support,medium
0.63,0.6,4,187,3,0,0,0,sales,medium
0.77,0.82,4,187,2,0,0,0,technical,low
0.4,0.49,2,147,3,0,0,0,sales,medium
0.89,0.89,5,167,2,0,0,0,IT,low
0.6,0.54,5,190,4,0,0,0,sales,medium
0.59,0.88,3,163,2,0,0,0,sales,low
0.12,0.94,6,202,4,0,0,0,support,low
0.51,0.67,4,195,3,0,0,0,sales,medium
0.09,0.92,7,270,5,0,1,0,sales,low
0.53,0.62,4,164,3,0,0,0,marketing,low
0.67,0.95,3,253,3,0,1,0,technical,medium
0.51,0.55,2,109,3,0,0,0,support,low
0.19,0.85,3,262,3,1,0,0,management,high
0.61,0.48,4,252,3,0,1,0,accounting,low
0.09,0.92,3,279,6,0,0,0,hr,medium
0.5,0.45,5,169,3,0,0,0,sales,low
0.56,0.69,4,243,2,0,0,0,sales,low
0.58,0.91,3,267,5,0,0,0,support,medium
0.62,0.93,3,277,2,0,0,0,technical,low
0.51,0.56,3,210,2,0,0,0,technical,low
0.81,0.6,4,260,4,0,0,0,sales,medium
0.38,0.49,2,144,3,0,1,0,sales,medium
0.73,0.64,4,191,2,0,0,0,RandD,low
0.35,0.47,2,154,3,0,1,0,sales,low
0.48,0.77,3,190,2,0,0,0,technical,low
0.59,0.93,5,254,3,0,0,0,support,medium
0.5,0.75,3,270,2,0,0,0,support,medium
0.68,0.88,3,223,2,0,0,0,marketing,low
0.21,0.95,6,240,4,0,1,0,support,medium
0.67,0.94,4,192,2,0,0,0,sales,medium
0.68,0.93,4,265,5,1,0,0,sales,medium
0.63,0.69,4,248,2,0,0,0,IT,low
0.76,0.68,4,160,3,0,0,0,accounting,high
0.48,0.53,3,215,5,0,1,0,sales,low
0.63,0.71,4,238,2,0,0,0,product_mng,medium
0.37,0.54,2,150,3,0,1,0,hr,medium
0.59,0.49,3,124,3,0,0,0,sales,low
0.7,0.96,5,236,5,0,0,0,IT,medium
0.85,0.5,4,155,5,0,1,0,sales,low
0.09,0.96,7,281,5,0,1,0,sales,low
0.13,0.91,6,280,5,0,1,0,product_mng,medium
0.66,0.72,4,190,2,0,0,0,sales,medium
0.59,0.62,5,219,2,0,0,0,sales,high
0.38,0.55,2,142,3,0,1,0,sales,low
0.58,0.76,3,272,3,0,0,0,IT,low
0.12,0.87,6,273,4,0,1,0,sales,low
0.39,0.5,2,135,3,0,1,0,sales,low
0.72,0.54,3,171,3,0,0,0,sales,low
0.75,0.91,5,246,4,0,0,0,technical,low
0.61,0.72,3,152,3,0,0,0,sales,medium
0.14,0.75,6,273,4,0,0,0,sales,medium
0.76,0.67,4,206,2,0,0,0,sales,medium
0.09,0.83,6,310,5,0,1,0,hr,low
0.84,0.94,5,177,2,0,1,0,technical,medium
0.33,0.66,3,146,2,0,0,0,hr,medium
0.56,0.94,3,182,2,0,0,0,sales,low
0.76,0.96,4,260,4,0,0,0,product_mng,medium
0.34,0.49,2,143,3,0,1,0,sales,low
0.12,0.92,6,284,5,0,1,0,support,medium
0.69,0.65,3,233,3,0,0,0,sales,medium
0.62,0.55,4,265,3,0,1,0,technical,low
0.72,0.99,4,267,5,1,0,0,sales,medium
0.56,0.76,3,280,4,0,1,0,sales,low
0.72,0.88,5,162,2,0,0,0,marketing,low
0.75,0.94,4,197,2,0,0,0,sales,medium
0.93,0.65,5,115,3,0,0,0,sales,high
0.7,0.5,4,238,2,0,0,0,technical,medium
0.78,0.68,4,207,3,0,0,0,technical,medium
0.36,0.71,2,165,3,0,0,0,support,high
0.6,0.9,3,272,4,0,0,0,IT,medium
0.38,0.5,2,166,3,0,0,0,RandD,low
0.61,0.93,5,262,4,0,0,0,IT,low
0.39,0.45,4,142,3,0,0,0,support,low
0.72,0.98,5,242,2,0,0,0,sales,medium
0.63,0.61,3,171,2,0,0,0,sales,medium
0.63,0.58,6,251,3,0,0,0,sales,low
0.71,0.67,5,159,2,0,0,0,hr,low
0.61,0.9,3,187,3,0,0,0,technical,low
0.64,0.56,4,181,2,0,0,0,sales,low
0.71,0.6,2,228,5,0,1,0,sales,medium
0.44,0.54,2,159,3,0,1,0,sales,medium
0.74,0.8,4,142,2,0,0,0,sales,low
0.55,0.86,3,221,4,0,0,0,sales,high
0.83,0.51,2,148,5,0,1,0,sales,low
0.66,0.68,5,203,2,0,0,0,management,high
0.53,0.62,4,196,5,1,0,0,technical,medium
0.61,0.98,3,268,2,1,0,0,RandD,medium
0.4,0.53,2,163,3,0,1,0,marketing,high
0.7,0.6,5,229,2,0,0,0,hr,medium
0.76,0.94,3,225,3,0,0,0,hr,medium
0.69,0.99,5,185,6,0,1,0,sales,medium
0.58,0.66,4,215,2,0,0,1,support,low
0.21,0.86,6,233,4,0,1,0,product_mng,low
0.09,0.9,6,303,4,0,1,0,technical,low
0.51,0.84,4,266,2,0,0,0,sales,low
0.54,0.54,4,202,2,0,0,0,sales,high
0.47,0.61,4,233,5,0,0,0,support,medium
0.11,1.0,6,260,4,0,0,0,sales,medium
0.76,0.67,4,139,2,0,0,0,sales,low
0.84,0.76,3,190,4,0,0,0,marketing,low
0.78,0.6,4,263,5,0,0,0,sales,low
0.09,0.92,6,292,4,0,1,0,sales,low
0.45,0.95,3,268,2,0,0,0,IT,low
0.37,0.41,2,139,3,0,1,0,support,medium
0.62,0.98,5,233,2,1,0,0,sales,medium
0.13,0.94,6,274,5,0,1,0,sales,low
0.53,0.7,3,248,2,0,0,0,sales,low
0.77,0.66,4,176,3,0,0,0,support,high
0.2,0.65,6,269,5,0,1,0,accounting,low
0.67,0.38,4,150,3,0,1,0,marketing,low
0.83,0.64,4,162,2,0,0,1,management,high
0.83,0.5,3,163,5,0,0,0,sales,medium
0.7,0.66,5,136,3,0,0,0,marketing,medium
0.46,0.7,4,228,2,0,0,0,sales,medium
0.56,0.5,4,216,2,0,0,0,sales,medium
0.63,0.66,4,168,2,0,0,0,sales,medium
0.8,0.95,4,265,2,0,0,0,sales,medium
0.74,0.67,4,111,3,0,0,0,technical,low
0.78,0.94,4,201,5,0,0,0,sales,low
0.73,0.98,5,253,5,0,1,0,sales,medium
0.09,0.52,6,268,5,0,1,0,hr,high
0.44,0.62,4,151,3,0,0,0,support,medium
0.64,0.81,4,189,2,0,0,0,sales,low
0.34,0.68,3,129,3,1,0,0,sales,medium
0.6,0.95,4,249,5,0,0,0,hr,medium
0.88,0.92,4,276,5,0,0,0,sales,low
0.7,0.54,4,264,2,1,0,0,technical,low
0.58,0.62,4,176,3,0,0,0,support,medium
0.65,0.72,4,158,4,0,0,0,marketing,medium
0.69,0.69,4,252,3,0,0,0,sales,medium
0.56,0.97,3,263,4,0,0,0,IT,medium
0.32,0.56,2,150,3,0,1,0,marketing,low
0.58,0.98,5,201,3,0,0,0,marketing,low
0.6,0.98,4,203,5,0,0,0,sales,high
0.48,0.6,4,174,3,0,0,0,technical,low
0.4,0.96,2,164,3,0,1,0,technical,low
0.6,0.88,5,187,2,0,0,0,sales,medium
0.7,0.56,3,192,2,0,0,0,technical,low
0.75,0.94,5,145,3,0,0,0,sales,medium
0.68,0.61,5,216,3,0,0,0,sales,low
0.17,0.91,6,271,5,0,1,0,marketing,low
0.91,0.68,3,190,3,0,0,0,sales,low
0.9,0.48,5,243,3,1,1,0,sales,low
0.09,0.92,6,290,2,0,1,0,technical,medium
0.96,0.68,5,194,5,0,0,0,sales,medium
0.77,0.55,5,176,2,0,0,0,sales,low
0.67,0.62,4,122,2,0,0,0,sales,low
0.77,0.77,6,250,5,0,1,0,accounting,low
0.73,0.83,4,237,2,0,0,0,hr,medium
0.53,0.84,3,192,3,0,0,0,sales,medium
0.94,0.68,3,263,2,0,0,0,sales,medium
0.59,0.72,5,203,3,1,0,0,IT,low
0.58,0.67,4,165,2,0,0,0,sales,medium
0.67,0.95,5,242,5,0,0,0,sales,low
0.39,0.54,2,165,3,0,0,0,sales,medium
0.66,0.86,4,267,2,1,0,0,technical,low
0.09,0.94,7,306,4,0,1,0,product_mng,low
0.35,0.48,2,158,10,0,1,0,management,low
0.62,0.89,4,223,2,0,0,0,technical,medium
0.14,0.93,4,244,3,0,1,0,hr,low
0.53,0.98,3,211,2,1,0,0,sales,medium
0.89,0.5,3,146,3,1,0,0,technical,medium
0.46,0.5,2,207,3,0,1,0,technical,low
0.51,0.78,3,173,2,0,0,0,RandD,medium
0.93,0.93,5,269,5,0,1,0,technical,medium
0.82,0.96,5,190,3,0,0,0,sales,medium
0.2,0.83,4,236,2,0,0,0,sales,medium
0.61,0.92,5,230,3,0,1,0,IT,low
0.91,0.5,3,188,2,0,0,0,IT,low
0.65,0.84,4,276,5,0,0,0,IT,low
0.54,0.65,3,227,2,0,0,0,technical,medium
0.09,0.82,3,250,4,0,0,0,hr,medium
0.76,0.62,5,243,5,1,0,0,sales,low
0.1,0.93,7,292,4,0,1,0,technical,low
0.46,0.9,3,253,3,0,0,0,technical,low
0.35,0.5,2,167,3,0,1,0,sales,medium
0.48,0.71,3,265,2,0,0,0,product_mng,low
0.82,0.7,5,265,3,0,0,0,technical,low
0.34,0.5,2,126,3,0,1,0,sales,low
0.73,0.94,3,189,6,0,1,0,sales,low
0.09,0.83,5,272,4,0,0,0,technical,low
0.13,0.9,4,271,4,0,1,0,marketing,medium
0.57,0.99,5,236,3,0,1,0,accounting,medium
0.51,0.98,5,249,2,0,0,0,IT,medium
0.61,0.63,4,183,3,0,0,0,technical,medium
0.63,0.51,4,143,2,0,0,0,sales,low
0.63,0.68,5,179,3,0,0,0,RandD,low
0.68,0.53,3,260,3,0,0,0,marketing,medium
0.37,0.53,2,143,3,0,1,0,IT,low
0.16,0.87,5,258,4,0,0,0,sales,high
0.7,0.97,4,271,5,0,1,0,sales,low
0.19,0.87,7,245,4,0,1,0,technical,medium
0.09,0.9,6,271,5,0,0,0,hr,medium
0.95,0.68,5,140,3,0,0,0,sales,medium
0.36,0.54,2,153,3,0,1,0,product_mng,low
0.43,0.68,2,167,3,0,0,0,IT,low
0.09,0.98,7,272,5,0,1,0,technical,low
0.63,0.9,5,259,4,0,1,0,hr,low
0.21,0.84,3,222,4,0,0,0,sales,low
0.37,0.39,2,156,3,0,1,0,sales,high
0.73,0.55,5,269,5,0,1,0,sales,low
0.51,0.57,3,276,3,0,0,0,support,medium
0.57,0.66,4,268,2,0,0,0,product_mng,low
0.15,0.93,6,298,4,0,0,0,technical,low
0.39,0.45,2,122,3,1,0,0,technical,low
0.54,0.55,3,143,3,0,0,0,marketing,low
0.36,0.72,2,142,3,0,0,0,technical,medium
0.66,0.97,4,270,6,0,0,0,sales,medium
0.55,0.84,3,268,3,0,0,0,accounting,low
0.75,0.56,5,281,5,0,1,0,support,medium
0.51,0.53,4,155,2,0,1,0,sales,low
0.35,0.53,2,146,3,0,1,0,sales,medium
0.5,0.56,4,144,2,1,0,0,support,low
0.43,0.53,2,162,3,0,1,0,RandD,medium
0.93,0.96,5,213,5,0,0,0,IT,low
0.59,0.54,5,159,3,0,0,0,accounting,low
0.47,0.67,3,163,3,0,0,0,support,low
0.7,0.92,5,150,5,0,0,0,sales,low
0.46,0.75,3,199,2,0,0,0,marketing,low
0.63,0.84,3,270,3,0,1,0,support,low
0.62,0.89,5,271,3,0,0,0,product_mng,low
0.53,0.88,2,115,3,0,0,0,RandD,low
0.8,0.64,3,138,2,0,0,0,sales,low
0.09,0.94,7,310,4,0,1,0,sales,low
0.52,0.53,4,137,3,0,0,0,technical,low
0.65,0.68,4,228,3,0,0,0,sales,low
0.32,0.49,5,141,3,0,0,0,sales,medium
0.2,0.99,6,250,5,0,0,0,support,medium
0.89,1.0,4,244,4,1,0,0,technical,low
0.5,0.71,4,210,2,0,0,0,technical,medium
0.31,0.69,4,166,3,0,1,0,sales,high
0.66,0.71,3,193,2,0,0,0,product_mng,low
0.39,0.43,4,167,6,0,1,0,marketing,medium
0.35,0.48,2,120,3,0,0,0,hr,low
0.86,0.68,4,250,3,0,0,0,hr,medium
0.54,0.58,4,248,2,0,0,0,sales,low
0.78,0.89,4,279,2,0,0,0,sales,low
0.53,0.65,4,231,2,0,0,0,technical,low
0.6,0.89,3,217,2,0,0,0,sales,low
0.09,0.87,6,300,5,0,1,0,product_mng,medium
0.62,0.98,6,276,5,0,1,0,technical,medium
0.36,0.6,2,138,3,0,1,0,support,low
0.15,0.78,3,179,2,0,0,0,hr,medium
0.41,0.98,5,148,3,0,0,0,sales,medium
0.82,0.7,3,188,3,0,0,0,RandD,low
0.69,0.63,3,122,3,0,0,0,sales,medium
0.66,0.71,4,163,5,0,0,0,technical,medium
0.1,0.94,7,310,5,0,1,0,technical,low
0.57,0.63,3,195,2,0,0,0,sales,low
0.54,0.5,3,271,2,0,0,0,sales,low
0.39,0.48,4,162,3,0,0,0,sales,low
0.69,0.52,4,163,3,0,0,0,sales,low
0.61,0.79,4,205,3,0,0,0,marketing,low
0.51,0.9,3,185,2,0,0,0,sales,medium
0.56,0.93,3,208,2,0,0,0,sales,medium
0.83,0.65,3,195,3,0,0,0,sales,low
0.61,0.54,3,279,2,0,0,0,accounting,low
0.4,0.56,2,142,3,1,1,0,support,low
0.37,0.49,2,149,3,0,1,0,sales,low
0.55,0.97,4,234,5,0,0,0,sales,medium
0.35,0.51,2,144,3,0,1,0,technical,high
0.66,0.85,4,194,2,0,0,0,IT,low
0.78,1.0,3,257,2,0,0,0,hr,medium
0.55,0.53,3,230,6,0,0,0,IT,medium
0.82,0.61,4,240,3,0,0,0,technical,high
0.68,0.52,2,102,2,0,1,0,sales,high
0.35,0.49,2,144,3,0,1,0,sales,low
0.65,0.52,4,114,2,0,0,0,sales,low
0.41,0.48,4,142,3,0,1,0,hr,low
0.55,0.63,5,183,8,0,0,0,sales,low
0.7,0.96,6,233,5,0,0,0,sales,low
0.55,0.57,3,239,3,0,0,0,sales,medium
0.76,0.78,4,252,5,0,0,0,sales,high
0.82,0.49,2,273,3,1,0,0,sales,medium
0.61,0.9,4,237,2,0,0,0,sales,low
0.67,0.75,5,270,5,0,1,0,sales,medium
0.75,0.64,5,258,6,0,1,0,product_mng,medium
0.66,0.98,4,186,4,0,1,0,sales,low
0.41,0.55,2,141,2,0,1,0,technical,low
0.54,0.56,3,169,3,0,0,0,sales,low
0.55,0.66,5,187,6,0,0,0,hr,medium
0.74,0.88,5,186,5,0,1,0,hr,low
0.32,0.48,2,146,3,0,1,0,technical,low
0.51,0.98,3,132,3,0,0,0,RandD,medium
0.75,0.62,2,152,3,0,0,0,sales,medium
0.09,0.76,7,271,4,0,0,0,sales,medium
0.47,0.67,4,146,3,0,0,0,support,low
0.36,0.57,2,136,5,0,1,0,sales,low
0.68,1.0,4,264,5,0,0,0,sales,medium
0.36,0.49,2,166,3,0,1,0,product_mng,medium
0.58,0.66,4,233,5,1,0,0,sales,low
0.42,0.82,5,264,6,0,0,0,marketing,medium
0.7,0.49,4,169,3,0,0,0,IT,low
0.83,0.55,4,192,2,0,0,0,support,low
0.78,0.7,3,258,6,0,0,0,accounting,low
0.57,0.59,3,255,8,0,0,0,technical,low
0.71,0.98,4,185,2,1,0,0,sales,low
0.09,0.89,6,310,4,0,1,0,product_mng,low
0.51,0.83,5,239,2,0,0,0,technical,low
0.45,0.5,2,151,3,0,0,0,sales,low
0.4,0.52,2,142,6,0,0,0,support,medium
0.7,0.9,4,162,3,0,0,0,sales,low
0.68,0.74,5,242,2,0,0,0,sales,medium
0.72,0.71,5,182,3,0,0,0,product_mng,medium
0.73,0.81,3,242,2,0,0,0,technical,medium
0.15,0.87,6,263,4,0,0,0,sales,medium
0.68,0.98,4,166,3,0,0,0,sales,low
0.11,0.98,7,282,4,0,1,0,hr,medium
0.56,0.58,3,153,2,0,0,0,hr,medium
0.75,0.98,4,246,5,1,0,0,sales,low
0.24,0.73,4,256,5,0,0,0,marketing,medium
0.63,0.64,3,147,3,0,0,0,IT,high
0.93,0.7,3,203,3,0,0,1,management,medium
0.38,0.48,2,144,3,0,0,0,IT,medium
0.73,0.98,5,179,5,0,1,0,sales,low
0.33,0.55,2,146,3,0,0,0,support,medium
0.35,0.72,5,258,5,0,1,1,technical,low
0.42,0.5,4,230,2,1,1,0,technical,low
0.37,0.5,2,136,3,0,1,0,IT,medium
0.4,0.55,2,141,3,0,1,0,marketing,low
0.6,0.68,5,205,2,0,0,0,management,low
0.48,0.55,3,137,3,0,0,0,support,low
0.66,0.5,4,147,5,0,0,0,technical,low
0.89,0.65,5,233,2,0,0,0,marketing,low
0.57,0.93,4,229,4,1,1,0,technical,medium
0.35,0.49,2,144,3,0,1,0,sales,medium
0.64,0.6,5,152,2,0,0,0,technical,medium
0.87,0.65,3,188,5,0,0,1,technical,low
0.65,0.68,5,167,2,0,0,1,management,high
0.68,0.86,4,254,5,0,0,0,sales,low
0.89,0.65,4,266,3,0,0,0,sales,medium
0.53,0.55,2,167,2,0,0,0,technical,low
0.83,0.62,4,234,3,0,0,0,technical,low
